format=0 tracks=1 division=96

BA    1   CR         0   TR  0   CH 16   Text type 3: "Fun, Fun, Fun"
BA    1   CR         0   TR  0   CH 16   Meta Event   type &54   96 0 3 0 0
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &00 &7F &00 &41 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &00 &00 &00 &00 &05 &0F &2C &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &30 &05 &0A &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &33 &5A &32 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &38 &06 &01 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &3A &50 &35 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &01 &10 &03 &02 &02 &02 &02 &04 &02 &04 &01 &02 &00 &00 &00 &00 &00 &00 &17 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 157
BA    1   CR         1   TR  0   CH  1   ST &B0 &00 &00
BA    1   CR    1+1/96   TR  0   CH  1   ST &B0 &20 &00
BA    1   CR    1+1/48   TR  0   CH  1   Instrument 2
BA    1   CR    1+1/32   TR  0   CH  1   Channel volume 90
BA    1   CR    1+1/32   TR  0   CH  1   ST &B0 &0A &40
BA    1   CR    1+1/32   TR  0   CH  1   ST &B0 &0B &7F
BA    1   CR    1+1/24   TR  0   CH  1   ST &B0 &5B &28
BA    1   CR    1+1/24   TR  0   CH  1   ST &B0 &5D &16
BA    1   CR    1+5/96   TR  0   CH  2   ST &B1 &00 &00
BA    1   CR    1+1/16   TR  0   CH  2   ST &B1 &20 &00
BA    1   CR    1+7/96   TR  0   CH  2   Instrument 34
BA    1   CR    1+1/12   TR  0   CH  2   Channel volume 112
BA    1   CR    1+1/12   TR  0   CH  2   ST &B1 &0A &40
BA    1   CR    1+1/12   TR  0   CH  2   ST &B1 &0B &7F
BA    1   CR    1+5/48   TR  0   CH  3   ST &B2 &00 &00
BA    1   CR   1+11/96   TR  0   CH  3   ST &B2 &20 &00
BA    1   CR     1+1/8   TR  0   CH  3   Instrument 28
BA    1   CR   1+13/96   TR  0   CH  3   Channel volume 100
BA    1   CR   1+13/96   TR  0   CH  3   ST &B2 &0A &68
BA    1   CR   1+13/96   TR  0   CH  3   ST &B2 &0B &7F
BA    1   CR    1+7/48   TR  0   CH  3   ST &B2 &5B &28
BA    1   CR    1+7/48   TR  0   CH  3   ST &B2 &5D &14
BA    1   CR    1+5/32   TR  0   CH  4   ST &B3 &00 &00
BA    1   CR     1+1/6   TR  0   CH  4   ST &B3 &20 &00
BA    1   CR   1+17/96   TR  0   CH  4   Instrument 12
BA    1   CR    1+3/16   TR  0   CH  4   Channel volume 100
BA    1   CR    1+3/16   TR  0   CH  4   ST &B3 &0A &40
BA    1   CR    1+3/16   TR  0   CH  4   ST &B3 &0B &7F
BA    1   CR   1+19/96   TR  0   CH  4   ST &B3 &5B &28
BA    1   CR   1+19/96   TR  0   CH  4   ST &B3 &5D &32
BA    1   CR    1+5/24   TR  0   CH  5   ST &B4 &00 &00
BA    1   CR    1+7/32   TR  0   CH  5   ST &B4 &20 &00
BA    1   CR   1+11/48   TR  0   CH  5   Instrument 54
BA    1   CR   1+23/96   TR  0   CH  5   Channel volume 100
BA    1   CR   1+23/96   TR  0   CH  5   ST &B4 &0A &2C
BA    1   CR   1+23/96   TR  0   CH  5   ST &B4 &0B &7F
BA    1   CR     1+1/4   TR  0   CH  5   ST &B4 &5B &32
