format=1 tracks=5 division=96

BA    1   CR         0   TR  0   CH 16   Time signature 3/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 60
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "(C) 1993, Hal Wadleigh"
BA    1   CR         0   TR  1   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  1   CH 16   Time signature 3/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  1   CH 16   Tempo 60
BA    1   CR         0   TR  2   CH 16   Text type 3: "297 Turnpike Rd. #325"
BA    1   CR         0   TR  2   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  2   CH  4   Instrument 55
BA    1   CR         0   TR  2   CH 16   Time signature 3/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  2   CH 16   Tempo 60
BA    1   CR         0   TR  2   CH  4   NT  F             1/2   von=95   voff=0
BA    1   CR         0   TR  2   CH  4   NT  D             1/2   voff=0
BA    1   CR         0   TR  2   CH  4   NT  F-            1/2   voff=0
BA    1   CR         0   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA    1   CR         0   TR  3   CH 16   Text type 3: "Westborough, MA 01581"
BA    1   CR         0   TR  3   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  3   CH  2   Instrument 92
BA    1   CR         0   TR  3   CH 16   Time signature 3/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  3   CH 16   Tempo 60
BA    1   CR         0   TR  4   CH 16   Text type 3: "U.S.A."
BA    1   CR         0   TR  4   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  4   CH  6   Instrument 53
BA    1   CR         0   TR  4   CH 16   Time signature 3/4, clocks/mtick 96, crotchets/32ndnote 8
BA    1   CR         0   TR  4   CH 16   Tempo 60
BA    1   CR       1/2   TR  2   CH  4   NT  D'              1   voff=0
BA    1   CR       1/2   TR  2   CH  4   NT  D               1   voff=0
BA    1   CR       1/2   TR  2   CH  4   NT  F-              1   voff=0
BA    1   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
