format=0 tracks=1 division=240
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 114
BA    1   CR         0   TR  0   CH  1   Instrument 65
BA    1   CR         0   TR  0   CH  1   Channel volume 65
BA    1   CR         0   TR  0   CH  2   Instrument 17
BA    1   CR         0   TR  0   CH  2   Channel volume 77
BA    1   CR         0   TR  0   CH  3   Instrument 33
BA    1   CR         0   TR  0   CH  3   Channel volume 112
BA    1   CR         0   TR  0   CH  4   Instrument 17
BA    1   CR         0   TR  0   CH  4   Channel volume 64
BA    1   CR         0   TR  0   CH  5   Instrument 26
BA    1   CR         0   TR  0   CH  5   Channel volume 98
BA    1   CR         0   TR  0   CH  6   Instrument 26
BA    1   CR         0   TR  0   CH  6   Channel volume 98
BA    1   CR         0   TR  0   CH  7   Instrument 9
BA    1   CR         0   TR  0   CH  7   Channel volume 86
BA    1   CR         0   TR  0   CH  8   Instrument 68
BA    1   CR         0   TR  0   CH  8   Channel volume 74
BA    1   CR         0   TR  0   CH  9   Instrument 67
BA    1   CR         0   TR  0   CH  9   Channel volume 115
BA    1   CR         0   TR  0   CH 10   Instrument 1
BA    1   CR         0   TR  0   CH 10   Channel volume 103
BA    1   CR         0   TR  0   CH 11   Instrument 67
BA    1   CR         0   TR  0   CH 11   Channel volume 97
BA    1   CR         0   TR  0   CH 12   Instrument 66
BA    1   CR         0   TR  0   CH 12   Channel volume 111
BA    1   CR         0   TR  0   CH 13   Instrument 54
BA    1   CR         0   TR  0   CH 13   Channel volume 101
BA    1   CR         0   TR  0   CH 14   Instrument 54
BA    1   CR         0   TR  0   CH 14   Channel volume 100
BA    1   CR         0   TR  0   CH 15   Instrument 53
BA    1   CR         0   TR  0   CH 15   Channel volume 76
BA    1   CR         0   TR  0   CH 16   Instrument 53
BA    1   CR         0   TR  0   CH 16   Channel volume 76
BA    1   CR       5/8   TR  0   CH  1   ST &B0 &00 &00
BA    1   CR     19/30   TR  0   CH  1   ST &B0 &20 &28
BA    1   CR       2/3   TR  0   CH  1   ST &B0 &0A &40
BA    1   CR     27/40   TR  0   CH  1   ST &B0 &5B &50
BA    1   CR     11/16   TR  0   CH  1   ST &B0 &5D &14
BA    1   CR   167/240   TR  0   CH  1   ST &B0 &5E &1D
BA    1   CR     17/24   TR  0   CH  1   ST &B0 &49 &43
BA    1   CR     43/60   TR  0   CH  1   ST &B0 &48 &40
BA    1   CR     35/48   TR  0   CH  1   ST &B0 &47 &54
BA    1   CR     59/80   TR  0   CH  1   ST &B0 &4A &40
BA    1   CR       3/4   TR  0   CH  2   ST &B1 &00 &00
BA    1   CR    91/120   TR  0   CH  2   ST &B1 &20 &22
BA    1   CR     19/24   TR  0   CH  2   ST &B1 &0A &40
BA    1   CR       4/5   TR  0   CH  2   ST &B1 &5B &50
BA    1   CR     13/16   TR  0   CH  2   ST &B1 &5D &00
BA    1   CR   197/240   TR  0   CH  2   ST &B1 &5E &00
BA    1   CR       5/6   TR  0   CH  2   ST &B1 &49 &40
BA    1   CR   101/120   TR  0   CH  2   ST &B1 &48 &40
BA    1   CR     41/48   TR  0   CH  2   ST &B1 &47 &2C
BA    1   CR     69/80   TR  0   CH  2   ST &B1 &4A &40
BA    1   CR       7/8   TR  0   CH  3   ST &B2 &00 &00
BA    1   CR     53/60   TR  0   CH  3   ST &B2 &20 &00
BA    1   CR     11/12   TR  0   CH  3   ST &B2 &0A &40
BA    1   CR     37/40   TR  0   CH  3   ST &B2 &5B &28
BA    1   CR     15/16   TR  0   CH  3   ST &B2 &5D &0A
BA    1   CR   227/240   TR  0   CH  3   ST &B2 &5E &00
BA    1   CR     23/24   TR  0   CH  3   ST &B2 &49 &40
BA    1   CR     29/30   TR  0   CH  3   ST &B2 &48 &40
BA    1   CR     47/48   TR  0   CH  3   ST &B2 &47 &40
BA    1   CR     79/80   TR  0   CH  3   ST &B2 &4A &1C
BA    1   CR         1   TR  0   CH  4   ST &B3 &00 &00
BA    1   CR   1+1/120   TR  0   CH  4   ST &B3 &20 &00
BA    1   CR    1+1/24   TR  0   CH  4   ST &B3 &0A &40
BA    1   CR    1+1/20   TR  0   CH  4   ST &B3 &5B &50
BA    1   CR    1+1/16   TR  0   CH  4   ST &B3 &5D &00
BA    1   CR  1+17/240   TR  0   CH  4   ST &B3 &5E &00
BA    1   CR    1+1/12   TR  0   CH  4   ST &B3 &49 &40
BA    1   CR  1+11/120   TR  0   CH  4   ST &B3 &48 &40
BA    1   CR    1+5/48   TR  0   CH  4   ST &B3 &47 &73
