format=1 tracks=4 division=192
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 100
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track

# TRACK 1

# BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
# BA    1   CR         0   TR  0   CH 16   Tempo 100
# BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  1   CH 16   Text type 3: "ROLAND D10          "
BA    1   CR         0   TR  1   CH  1   Instrument 26

BA    2   CR         0   TR  1   CH  1   Channel volume 75
BA    2   CR         0   TR  1   CH  1   ST &B0 &40 &7F
BA    2   CR   1+47/48   TR  1   CH  1   NT  E            7/32   von=73
BA    2   CR   1+95/96   TR  1   CH  1   NT  E-          17/96   von=69
BA    2   CR   2+27/64   TR  1   CH  1   ST &B0 &40 &00
BA    2   CR  2+83/192   TR  1   CH  1   NT  G-          39/64   von=57
BA    2   CR  2+83/192   TR  1   CH  1   NT  A--           5/8   von=59
BA    2   CR   2+43/96   TR  1   CH  1   NT  E-            1/3   von=53
BA    2   CR   2+11/24   TR  1   CH  1   NT  G           13/48   von=63
BA    2   CR 2+107/192   TR  1   CH  1   ST &B0 &40 &7F
BA    2   CR   2+57/64   TR  1   CH  1   NT  E          29/192   von=80
BA    2   CR    3+5/16   TR  1   CH  1   NT  G             1/4   von=73
BA    2   CR   3+31/96   TR  1   CH  1   NT  E-            1/2   von=70
BA    2   CR   3+19/48   TR  1   CH  1   ST &B0 &40 &00
BA    2   CR   3+11/24   TR  1   CH  1   ST &B0 &40 &7F
BA    2   CR   3+71/96   TR  1   CH  1   NT  E          29/192   von=69

BA    3   CR       1/8   TR  1   CH  1   ST &B0 &40 &00
BA    3   CR      7/48   TR  1   CH  1   NT  A--         63/64   von=60
BA    3   CR      5/32   TR  1   CH  1   NT  G-        149/192   von=66
BA    3   CR     11/64   TR  1   CH  1   NT  G            7/24   von=73
BA    3   CR       1/4   TR  1   CH  1   ST &B0 &40 &7F
BA    3   CR       2/3   TR  1   CH  1   NT  E           11/48   von=79
BA    3   CR    1+3/64   TR  1   CH  1   NT  E-         29/192   von=66
BA    3   CR    1+1/16   TR  1   CH  1   NT  G-           3/32   von=18
BA    3   CR  1+91/192   TR  1   CH  1   NT  G            5/24   von=67
BA    3   CR   1+29/32   TR  1   CH  1   NT  G-          1+1/6   von=63
BA    3   CR   1+59/64   TR  1   CH  1   NT  A--        1+9/64   von=58
BA    3   CR   1+59/64   TR  1   CH  1   ST &B0 &40 &00
BA    3   CR   1+47/48   TR  1   CH  1   NT  A           13/48   von=76
BA    3   CR    2+1/24   TR  1   CH  1   ST &B0 &40 &7F
BA    3   CR   2+27/64   TR  1   CH  1   NT  G             1/6   von=66
BA    3   CR     2+7/8   TR  1   CH  1   NT  E-          19/96   von=51
BA    3   CR   2+43/48   TR  1   CH  1   NT  F#         37/192   von=75
BA    3   CR    3+5/12   TR  1   CH  1   NT  E          25/192   von=60
BA    3   CR   3+27/64   TR  1   CH  1   NT  A--        29/192   von=59
BA    3   CR    3+7/16   TR  1   CH  1   NT  E-           1/16   von=51

BA    4   CR    35/192   TR  1   CH  1   NT  F#-      2+25/192   von=43
BA    4   CR      3/16   TR  1   CH  1   NT  D--      2+37/192   von=53
BA    4   CR     19/96   TR  1   CH  1   NT  A-         2+1/24   von=65
BA    4   CR     19/96   TR  1   CH  1   NT  D          2+9/64   von=61
BA    4   CR    41/192   TR  1   CH  1   NT  D-         2+7/64   von=52
BA    4   CR       1/4   TR  1   CH  1   ST &B0 &40 &00
BA    4   CR     17/24   TR  1   CH  1   ST &B0 &40 &7F
BA    4   CR 2+107/192   TR  1   CH  1   ST &B0 &40 &00
BA    4   CR  3+11/192   TR  1   CH  1   NT  A-         53/192   von=67
BA    4   CR    3+1/16   TR  1   CH  1   NT  A--         11/32   von=53
BA    4   CR   3+17/32   TR  1   CH  1   ST &B0 &40 &7F
BA    4   CR   3+35/64   TR  1   CH  1   NT  D--        55/192   von=59
BA    4   CR 3+107/192   TR  1   CH  1   NT  F#-          5/24   von=45
BA    4   CR    3+9/16   TR  1   CH  1   NT  D            7/32   von=64
BA    4   CR    3+9/16   TR  1   CH  1   NT  D-          37/96   von=55
BA    4   CR   3+55/96   TR  1   CH  1   NT  A-            1/6   von=65
BA    4   CR   3+47/48   TR  1   CH  1   NT  F#-         13/96   von=40

BA    5   CR      1/64   TR  1   CH  1   NT  A-         25/192   von=60
BA    5   CR      1/32   TR  1   CH  1   NT  D          35/192   von=62
BA    5   CR    19/192   TR  1   CH  1   NT  G#--         7/64   von=46
BA    5   CR     19/48   TR  1   CH  1   ST &B0 &40 &00
BA    5   CR    89/192   TR  1   CH  1   NT  C#          13/64
BA    5   CR    91/192   TR  1   CH  1   NT  A-         35/192   von=55
BA    5   CR     23/48   TR  1   CH  1   NT  A--         25/96   von=58
BA    5   CR     23/48   TR  1   CH  1   NT  E           15/64   von=59
BA    5   CR    97/192   TR  1   CH  1   NT  E-          13/64   von=58
BA    5   CR   113/192   TR  1   CH  1   ST &B0 &40 &7F
BA    5   CR     83/96   TR  1   CH  1   NT  E           13/96   von=37
BA    5   CR   169/192   TR  1   CH  1   NT  C#            1/8   von=34
BA    5   CR     57/64   TR  1   CH  1   NT  A-            1/8   von=51
BA    5   CR   1+19/64   TR  1   CH  1   ST &B0 &40 &00
BA    5   CR    1+5/16   TR  1   CH  1   NT  A-           5/16   von=41
BA    5   CR   1+31/96   TR  1   CH  1   NT  D-          57/64   von=56
BA    5   CR  1+65/192   TR  1   CH  1   NT  D--       181/192   von=61
BA    5   CR  1+65/192   TR  1   CH  1   NT  F#          29/96   von=58
BA    5   CR   1+35/96   TR  1   CH  1   NT  F#-         23/96   von=71
BA    5   CR   1+33/64   TR  1   CH  1   ST &B0 &40 &7F
BA    5   CR   1+51/64   TR  1   CH  1   NT  A-            1/6   von=65
BA    5   CR 1+155/192   TR  1   CH  1   NT  F#-          5/32   von=51
